company_name,stock_ticker,company_location,current_stock_price,description,Industry,Founded,Headquarters,Country/Territory,CEO and Chair,Employees,Revenue,Assets,Profits,Previous Close,Open,Day’s Range,Volume,52 Week Range,Market Cap,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Ex-Dividend Date,Price to Sales (ttm),Price to Book Value (ttm),Price to Tangible Book Value (ttm),Total Enterprise Value to EBIT (ttm),Total Enterprise Value to EBITDA (ttm),Total Enterprise Value to Total Revenue (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),EBITDA (ttm),EBITDA Growth (y/o/y),Diluted EPS Growth (y/o/y),Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Consensus Recommendation,Consensus Price,Range of Price Targets,Range of EPS,Consensus EPS,Consensus Revenue,Range of Revenue,Chief Executive Officer,CEO,CEO and President,Chairman,"Chair, CEO and Founder",Chairman of the board,Group CEO and President,Chairman and CEO,Vice Chairman,"CEO, President, and Chair","CEO, Director, and Deputy Party Committee Secretary",Co-CEO,"CEO, President, and Founder",President and CEO,"President, Canada",Chief Executive Officer,Co-CEOs & Co-Presidents,President,"Chairman, President and CEO",Executive Chair and CEO,President & CEO,CEO & Co-Founder,Co-CEOs,CEO & Founder,Chairman and Co-CEO,Chairman and Chief Executive Officer,"Co-Founder, Co-CEO and Chairman",Charter President,President & Representative Director,CEO and Chairman
Air Liquide,,"Paris, France",,"Air Liquide SA supplies gases for the large industry and health businesses. The company operates through the following segments: Gas & Services, Engineering & Construction, Global Markets & Technologies and Other Activities. The Gas & Services segment engages in the supply of gases, which is organized by geographical area of Europe, Americas, Asia-Pacific and the Middle-East and Africa. The Engineering & Construction segment designs, develops and builds industrial gas production plants for the Group and third parties. It also designs and manufactures plants in the traditional, renewable and alternative energy sectors. The Global Markets & Technologies segment ocuses on new markets which require a global approach, drawing on science, technologies, development models, and usages related to digital transformation The Other Activities segment primarily operates its business through two businesses: Welding and Diving. The Welding business develops welding and cutting technologies, which covers a wide market range such as naval shipyards, automotive, transport equipment, infrastructures, boilers, distributors, machinery and equipment and energy. The Diving business markets deep-sea diving and swimming equipment to professionals and private individuals. Air Liquide was founded by Georges Claude and Paul Delorme on November 8, 1902 and is headquartered in Paris, France. Read Less","Engineering, Manufacturing",1902,Paris,France,,"67,100",$31.5B,$52.8B,$2.9B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,François Jackow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aflac,NYSE: AFL,"Columbus, Georgia",$79.26,"Aflac, Inc. is a holding company, which engages in the provision financial protection services. It operates through the Aflac Japan and Aflac United States (U.S.) segments. The Aflac Japan segment offers life insurance, death benefits, and cash surrender values. The Aflac U.S. segment sells voluntary supplemental insurance products for people who already have major medical or primary insurance coverage. The company was founded by John Amos, Daniel Paul Amos, and William Amos on November 17, 1955 and is headquartered in Columbus, GA.",Insurance,1955,"Columbus, Georgia",United States,Daniel P. Amos,"4,851",$19B,$133.9B,$4.4B,78.78,79.28,78.60 x 79.62,"2,087,758",60.20 x 86.20,$45.85B,10.19,12.26,7.78,1.68,2.54%,"Feb 20, 2024",2.53,2.09,2.09,9.29,9.22,2.62,56.09%,28.14%,24.91%,2.55%,21.01%,$18.7B,31.37,-4.11%,$5.31B,8.86%,18.06,N/A,N/A,$7.36B,33.50%,N/A,Hold,83.38,75.00 to 92.00,6.35 to 6.70,6.47,$17.27B,$15.78B to $17.89B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Life Financial,NYSE: SLF,"Toronto, Ontario",$53.71,"Sun Life Financial, Inc. is a holding company. The firm engages in the provision of financial services. It operates through the following segments: Sun Life Financial Canada, Sun Life Financial United States, Sun Life Financial Asset Management, Sun Life Financial Asia, and Corporate. The Sun Life Financial Canada segment offers individual insurance and wealth, and group benefits and retirement services. The Sun Life Financial United States segment consists of group benefits, international and in-force management services. The Sun Life Financial Asset Management segment focuses on the design and delivers investment products through MFS investment management, and Sun Life investment management. The Sun Life Financial Asia segment comprises of Philippines, Hong Kong, Indonesia, Vietnam, Malaysia, India, and China markets. The Corporate segment represents United Kingdom business unit and corporate support operations, which include run-off reinsurance operations as well as investment income, expenses, capital, and other items. The company was founded on March 18, 1865 and is headquartered in Toronto, Canada. Read Less",Banking and Financial Services,1865,"Toronto, Ontario",Canada,,"2,700",$31.6B,$240.7B,$2.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kevin D. Strain,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,,"Paris, France",,"Orange SA is a telecommunication services company, which operates mobile and internet services. It provides telecommunication services to multinational companies, under the brand Orange Business Services. The company was founded in 1794 and is headquartered in Paris, France.","Telecommunications Services, Cable Supplier",1988,Paris,France,,"136,000",$45.7B,$120.8B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christel Heydemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosco Shipping,,"Shanghai, China",,"COSCO SHIPPING Holdings Co. Ltd. engages in the provision of container shipping, managing and operating container terminals and container leasing services. It operates through following business segments: Container Shipping, Container Terminal, and Corporate and Other Operations. The company was founded on March 3, 2005 and is headquartered in Tianjin, China.",Transportation,2005,Shanghai,China,,"31,510",$58.3B,$73.6B,$16.4B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zhi Jian Yang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraft Heinz Company, KHC,"Chicago, Illinois",$36.39,"The Kraft Heinz Co. engages in the manufacture and market of food and beverage products. It operates through the following geographical segments: United States, Canada, EMEA, and Rest of the World. The Rest of the World segment is comprised of the Latin America and Asia Pacific segments. Its products include condiments and sauces, cheese and dairy, ambient meals, frozen and chilled meals, and for infant and nutrition. The company was founded on July 2, 2015 and is headquartered in Pittsburgh, PA.","Food, Soft Beverages, Alcohol & Tobacco",2015,"Chicago, Illinois",United States,,"37,000",$26.9B,$90.9B,$2.4B,35.62,35.83,35.74 x 36.41,"9,722,109",30.68 x 41.47,$44.14B,15.75,11.99,2.31,1.60,4.49%,"Nov 30, 2023",1.68,0.89,N/A,11.74,8.84,2.38,33.72%,20.29%,10.72%,3.74%,5.77%,$26.64B,21.71,0.59%,$6.37B,6.12%,20.94,$1.4B,1.15,$20.53B,41.30%,0.99,Outperform,40.09,35.00 to 53.00,2.95 to 3.11,3.03,$26.86B,$26.53B to $27.41B,Miguel Patricio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrien,,"Saskatoon, Saskatchewan",,"Nutrien Ltd. is a crop nutrient company, which engages in the production and distribution of products for agricultural, industrial, and feed customer. It operates through the following segments: Retail, Potash, Nitrogen, and Phosphate. The Retail segment distributes crop nutrients, crop protection products, seed, and merchandise. It also provides agronomic services to growers. The Potash, Nitrogen, and Phosphate segments produces differentiated chemical nutrient contained in each products. The company was founded on June 2, 2017 and is headquartered in Calgary, Canada.","Construction, Oil & Gas Operations, Mining and Chemicals",2017,"Saskatoon, Saskatchewan",Canada,,"24,700",$37.7B,$54.6B,$7.6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mayo Schmidt,,,,,,,,,,,,,,,,
Standard Chartered,,"London, United Kingdom",,"Standard Chartered Plc engages in the provision of banking and financial services. It operates through the following segments: Corporate and Institutional Banking, Retail Banking, Commercial Banking, Private Banking, and Central and Other Items. The Corporate and Institutional Banking segment supports clients with transaction banking, corporate finance, financial markets, and borrowing needs. The Retail Banking segment offers digital banking services such as deposits, payments, financing products and wealth management, as well as supporting business banking needs. The Commercial Banking segment consists of international financial solutions in areas such as trade finance, cash management, financial markets, and corporate finance. The Private Banking segment comprises of suite of investment, credit, and wealth planning solutions. The Central and Other Items segment comprises of corporate centre costs, treasury markets, treasury activities, certain strategic investments, and the UK bank levy. The company was founded on November 18, 1969 and is headquartered in London, the United Kingdom. Read Less",Banking,1853,London,United Kingdom,,"83,266",$28.6B,$820.7B,$2.8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bill Winters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIA,,"Seoul, South Korea",,"Kia Motors Corp. engages in the manufacturing and sales of motor vehicles. It operates through the following segment: Passenger Cars, Recreational Vehicles and Commercial Vehicles. It is also involved in leasing vehicles, providing vehicle maintenance services and automobile Parts. The company was founded on December 10, 1944 and is headquartered in Seoul, South Korea.",Automotive (Automotive and Suppliers),1944,Seoul,South Korea,,"52,000",$70.2B,$58.3B,$5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ho-Sung Song,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dow,NYSE: DOW,"Midland, Michigan",$55.75,"Dow, Inc. materials science company, combining science and technology to develop innovative solutions. It operates through three business segments: Performance Materials & Coatings, Industrial Intermediates & Infrastructure, and Packaging & Specialty Plastics. The Performance Materials & Coatings segment includes industry-franchises that deliver a wide array of solutions into consumer and infrastructure end-markets. The segment consists of two global businesses: Coatings & Performance Monomers and Consumer Solutions. These businesses primarily utilize Dow's acrylics, cellulosics- and silicone-based technology platforms to serve the needs of the architectural and industrial coatings, home care and personal care end-markets. The Industrial Intermediates & Infrastructure segment consists of two customer-centric global businesses Industrial Solutions and Polyurethanes & CAV that develop important intermediate chemicals that are essential to manufacturing processes, as well as downstream, customized materials and formulations that use advanced development technologies. The Packaging & Specialty Plastics segment consists of two global businesses: Hydrocarbons & Energy and Packaging and Specialty Plastics. The company was founded on August 30, 2018 and is headquartered in Midland, MI. Read Less","Construction, Chemicals, Raw Materials",1897,"Midland, Michigan",United States,,"37,800",$53.5B,$59.3B,$2.9B,54.71,54.84,54.76 x 55.83,"4,065,920",47.26 x 58.75,$39.15B,68.07,18.44,0.82,2.80,5.12%,"Nov 29, 2023",0.88,2.10,4.96,20.60,7.79,1.16,11.33%,5.91%,1.32%,2.78%,3.27%,$44.62B,63.23,-21.58%,$5.18B,-39.88%,-86.96,$4.29B,4.25,$16.47B,86.19%,1.77,Hold,57.74,52.00 to 68.00,2.66 to 3.55,3.02,$45.57B,$44.49B to $46.91B,Jim Fitterling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAIC Motor,,"Shanghai, China",,"SAIC Motor Corp. Ltd. engages in the development, manufacture, sale of automobiles and related parts. It operates through the following business segments: Vehicles & Parts and Financing. The company's business activities include the sale of passenger and commercial vehicles, and components such as engine, transmission, power train, chassis, exterior trim and also offers automotive trade services such as auto financing business. It is currently establishing an intelligent logistics service platform to deliver extended services to clients. SAIC Motor was founded on November 24, 1997 and is headquartered in Shanghai, China. Read Less",Automotive (Automotive and Suppliers),1955,Shanghai,China,,"215,999",$102.5B,$138B,$2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centene,NYSE: CNC,"St. Louis, Missouri",$79.17,"Centene Corp. engages in the provision of programs and services to government sponsored healthcare programs. It operates through the following segments: Managed Care and Specialty Services. The Medicaid Managed Care segment provides health plan coverage to individuals through government subsidized programs through Medicaid. The Specialty Services segment offers healthcare services and products to state programs, correctional facilities, healthcare organizations, employer groups, and other commercial organizations. The company was founded in 1984 and is headquartered in St. Louis, MO.",Insurance,1984,"St. Louis, Missouri",United States,,"74,300",$146.3B,$83B,$1.5B,79.29,79.60,78.69 x 79.60,"1,871,371",60.83 x 79.84,$42.35B,15.99,11.68,4.95,N/A,N/A,N/A,0.30,1.64,19.40,8.81,7.01,0.31,15.97%,3.54%,1.91%,3.88%,10.75%,$137.03B,260.41,4.04%,$6.3B,6.22%,139.13,$19.65B,32.17,$17.83B,68.69%,1.11,Outperform,88.33,73.30 to 110.00,6.63 to 7.01,6.78,$145.84B,$142.84B to $147.56B,Sarah McGinty London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Saudi National Bank,,"Riyadh, Saudi Arabia",,"The National Commercial Bank CJSC engages in the provision of conventional and Shariah-compliant banking services. It operates through the following segments: Retail, Corporate, Treasury, Capital Market, and International. The Retail segment offers lending and current accounts to individuals and private banking customers. The Corporate segment includes conventional credit-related and financing products in compliance with Shariah rules to small, medium, and large sized business establishments and firms. The Treasury segment comprises of money market and foreign exchange; investment and trading activities; and managing liquidity, market, and credit risk in relation to investments. The Capital Market segment provides wealth management, asset management, investment banking, and shares brokerage services. The International segment consists of banking services provided outside Saudi Arabia. The company was founded on December 26, 1953 and is headquartered in Jeddah, Saudi Arabia. Read Less",Banking,1953,Riyadh,Saudi Arabia,,"15,906",$11.8B,$260B,$5.1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talal Ahmed Al-Khereiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumitomo,,"Tokyo, Japan",,"Sumitomo Corp. engages in the business of trading services. It operates through the following segments: Metal Products, Transportation and Construction Systems, Infrastructure, Media and Digital, Living Related and Real Estate, and Mineral Resources, Energy, Chemical and Electronics. The Metal Products segment handles the trade of metal products, including steel sheets, tubular products, and other products, as well as non-ferrous metals such as aluminum and titanium. The Transportation and Construction Systems segment deals with the automobile, ship, aircraft, rail, other transportation equipment, and construction equipment businesses. The Infrastructure segment includes social infrastructure, global power infrastructure, and logistics infrastructure businesses. The Media and Digital segment handles the digital, media, and smart communications platform businesses. The Living Related and Real Estate segment manages the lifestyle and retail, food and agriculture, and materials, supplies, and real estate divisions. The Mineral Resources, Energy, Chemical and Electronics segment develops businesses in mineral resources, energy, basic chemicals and electronics, and life sciences. The company was founded on December 24, 1919 and is headquartered in Tokyo, Japan. Read Less",Retail and Wholesale,1919,Tokyo,Japan,,"5,223",$50.3B,$77.3B,$4.5B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masayuki Hyodo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
