company_name,Ticker1,Industry,Country/Territory,Employees,Revenue,Assets,Profits,Sector,P/E Ratio (ttm),Forward P/E,Diluted EPS (ttm),Dividends Per Share,Dividend Yield,Price to Sales (ttm),Price to Book Value (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue Per Share (ttm),Revenue Growth (y/o/y),Total Cash Per Share,Total Debt/Equity,Current Ratio,Market Cap USD,EBITDA (ttm) USD,Total Cash USD,Total Debt USD,segment_list,business_segments_homologation
Bridgestone,5108.T,Automotive (Automotive and Suppliers),Japan,129260.0,31.2,37.6,2.0,Consumer Cyclical,14.134624,11.527097,477.48,210.0,0.0318,1.071146,1.3777974,0.38309,0.09498999,0.076799996,0.05796,0.103769995,6301.832,-0.015,1074.146,24.378,2.134,42.0484567007232,7.1669690007552,6.6920764997632,7.5544558043136,['Tires and Diversified Products'],"Tires, Mobility Solutions, Sports, Building and Industrial Materials, Digital Mobility Solutions"
Fortescue Metals Group,FMG.AX,Materials,Australia,11693.0,17.0,28.0,5.7,Basic Materials,8.710802,10.373444,2.87,2.16,0.0858,4.1499896,3.9695141,0.57176,0.52576,0.31092,0.20714001,0.31545,6.03,0.214,1.544,27.408,2.84,76.974006272,11.237000192,4.749000192,5.318000128,[],"Iron Ore Mining, Shipping, Infrastructure, Renewable Energy, Green Hydrogen"
CEZ Group,CEZ.PR,Utilities,Czech Republic,27659.0,15.2,48.9,3.5,Utilities,7.7075644,12.556356,108.4,145.0,0.16290002,1.401976,1.9198203,0.47199002,0.30451,0.18195,0.052449998,0.35872,595.636,-0.047,34.446,65.825,1.278,18.837198471168,5.842283790336,0.776622034944,6.50109616128,"['Generation - Traditional Energy', 'Generation - New Energy', 'Distribution', 'Sales', 'Mining', 'and Other']","Power Generation, Distribution and Sales, Energy Services, Coal Mining, Renewable Energy"
Xcel Energy,XEL,Utilities,United States,11982.0,15.6,60.9,1.8,Utilities,16.292835,13.655353,3.21,2.19,0.0416,2.0438304,1.6475555,0.41771,0.1903,0.12467,0.02607,0.10329001,25.736,-0.151,0.29,156.551,0.72,29.034655744,5.180000256,0.161,27.57799936,"['Regulated Electric Utility', 'Regulated Natural Gas Utility and All Others']","Electric and Natural Gas Utilities, Renewable Energy, Energy Storage, Smart Grid Solutions"
ENEOS Holdings,5020.T,Oil & Gas Operations,Japan,41852.0,111.2,81.0,2.3,Energy,8.727402,9.456185,84.08,22.0,0.0301,0.15870126,0.72139704,0.09404001,0.021389998,0.01827,0.02446,0.09079,4619.657,-0.08,203.413,98.425,1.475,20.1127367540736,6.799801974784,5.580347546009601,31.4800945758208,"['Energy', 'Oil and Natural Gas Exploration and Production', 'Metals', 'and Others']","Petroleum Refining, Natural Gas, Renewables, Materials, Electric Power"
Talanx,TLX.DE,Insurance,Germany,23669.0,56.2,200.3,1.2,Financial Services,11.735881,10.405007,6.02,2.0,0.0279,0.35151303,1.8074138,0.12206,-0.10170999,0.02938,,0.19124001,205.035,-0.141,,,14.167,19.70338922496,4.270319861760001,,,['Insurance and Corporate Operations'],"Insurance, Reinsurance, Asset Management, Banking, Digital Insurance Solutions"
Tesco,TSCO.L,Retail and Wholesale,United Kingdom,336926.0,79.7,55.9,0.9004,Consumer Defensive,14.6,11.45098,0.2,0.11,0.0382,0.3071221,171.26099,0.06658,0.0499,0.02125,0.03679,0.111140005,9.289,0.05,0.637,129.692,0.737,25.66499098624,4.66363992064,5.58743984128,19.38988023808,"['UK and ROI', 'Central Europe', 'Asia', 'and Tesco Bank']","Grocery Retail, General Merchandise, Financial Services, Data Solutions, Media Services"
Intel,INTC,"Semiconductors, Electronics, Electrical Engineering",United States,131900.0,56.4,185.3,-2.9,Technology,106.049995,20.592232,0.4,0.5,0.0119,3.3073642,1.6985663,0.40037,0.093660004,0.03115,0.0001,0.01571,12.942,0.097,5.921,45.226,1.542,179.351748608,9.633000448,25.034000384,49.733001216,"['Client Computing Group (CCG)', 'Data Center Group (DCG)', 'Internet of Things Group (IOTG)', 'Non-Volatile Memory Solutions Group (NSG)', 'Programmable Solutions (PSG)', 'and All Other']","Semiconductors, Processors, Platforms, Solutions, Software"
Axis Bank,AXISBANK.BO,Banking and Financial Services,India,92000.0,13.2,163.6,1.3,Financial Services,24.041763,26.440418,43.1,1.0,0.001,5.1371436,2.1406612,,0.47879001,0.21568,0.01008,0.094919994,202.148,0.167,181.454,,,41.570132557824,,7.271217168384,28.995633545216,"['Treasury', 'Retail Banking', 'Corporate or Wholesale Banking', 'and Other Banking Business']","Retail Banking, Corporate Banking, Investment Banking, Asset Management, Digital Banking"
Nissan Motor,7201.T,Automotive (Automotive and Suppliers),Japan,134111.0,74.3,128.5,0.9826,Consumer Cyclical,5.7894735,6.0148187,110.77,20.0,0.0322,0.20845108,0.42576498,0.16670999,0.04557,0.03523,0.019919999,0.074710004,3143.265,0.095,470.259,118.607,1.749,23.2720065363968,8.3309406322688,16.0054436691968,66.3619794632704,[],"Automotive Manufacturing, Electric Vehicles, Autonomous Driving, Mobility Services, Automotive Finance"
AIA Group,1299.HK,Banking and Financial Services,Hong Kong,23000.0,41.7,297.9,0.2829,Financial Services,1901.6666,11.985293,0.03,2.38,0.0417,32.523434,15.716252,0.37120998,0.28517,0.19051,0.0128999995,0.08718,1.715,0.06,0.973,37.83,3.071,642.565537792,5.919000064,11.022000128,15.735000064,"['Hong Kong', 'Thailand', 'Singapore', 'Malaysia', 'China', 'Korea', 'the Philippines', 'Australia', 'Indonesia', 'Taiwan', 'Vietnam', 'New Zealand', 'Macau', 'Brunei', 'Cambodia', 'a 97 per cent subsidiary in Sri Lanka', 'a 49 per cent joint venture in India', 'and a representative office in Myanmar']","Life Insurance, Pensions, Asset Management, Healthcare Services, Digital Insurance Solutions"
Marriott International,MAR,Travel & Leisure,United States,11100.0,22.2,24.9,2.7,Consumer Cyclical,25.051031,23.746046,10.19,2.08,0.0082,11.729656,,0.81508005,0.43292,0.48937,0.09715,,20.896,0.116,1.168,,0.427,73.89683712,4.272,0.338,12.865000448,"['North American Full-Service', 'North American Limited-Service', 'Asia Pacific', 'and Other International']","Hotels and Resorts, Timeshare, Luxury Brands, Corporate Travel, Loyalty Programs"
Boeing,BA,Aerospace & Defense,United States,156000.0,70.5,136.3,-4.1,Industrials,,27.085136,-3.66,,,1.4721229,,0.11892,0.02589,-0.02856,0.0058999998,,128.415,0.102,26.13,,1.14,114.522333184,3.153999872,15.943000064,54.12100096,"['Commercial Airplanes; Defense', 'Space and Security; Global Services; and Boeing Capital']","Commercial Airplanes, Defense Systems, Services, Space Exploration, Digital Aerospace Solutions"
Carrefour,CA.PA,Retail and Wholesale,France,321000.0,87.3,60.4,1.4,Consumer Defensive,12.344962,7.04646,1.29,0.87,0.0553,0.13068491,0.95387846,0.18478,0.035889998,0.01958,0.02485,0.06774,118.61,-0.027,9.663,150.078,0.926,11.95566206976,3.896640000000001,7.21332006912,21.69828089856,[],"Retail, Supermarkets, Convenience Stores, E-commerce, Financial Services"
Danone,BN.PA,"Food, Soft Beverages, Alcohol & Tobacco",France,100000.0,29.1,48.3,0.9932,Consumer Defensive,43.49265,15.484294,1.36,2.1,0.0354,1.3746598,2.347129,0.47373,0.13507,0.0319,0.049450003,0.055710003,43.085,-0.062,9.349,100.314,0.934,41.00406755328,4.73472,6.48107993088,17.574840483840003,[],"Dairy and Plant-Based Products, Waters, Early Life Nutrition, Medical Nutrition, Sustainable Operations"
Yankuang Energy Group,600188.SS,Materials,China,64279.0,23.0,44.4,4.6,Energy,10.460526,8.003356,2.28,3.07,0.1287,0.9364304,3.522895,0.33071,0.2289,0.10265,0.06956,0.18398,22.459,-0.264,4.298,98.444,0.756,22.953699213312,6.780432605184,4.87625069568,14.914977767424,"['Coal Mining', 'Coal Railway Transportation', 'Methanol', 'Electricity and Heat Supply', 'and Equipment Manufacturing']","Coal Mining, Coal Chemical, Power Generation, Aluminum, New Energy"
Regeneron Pharmaceuticals,REGN,Drugs & Biotechnology,United States,9843.0,12.4,30.1,4.2,Healthcare,27.880472,20.478315,34.72,,,8.100106,3.9922547,0.52316004,0.29202,0.30141002,0.08494,0.16258,122.935,0.006,100.918,10.407,5.69,106.250715136,4.654199808,10.8448,2.702899968,[],"Biopharmaceuticals, Oncology, Immunology, Ophthalmology, Cardiovascular Disease"
Canon,7751.T,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Japan,180775.0,30.4,39.5,1.9,Technology,17.113232,14.340077,264.24,150.0,0.0332,1.0683683,1.332179,0.47092,0.092080005,0.06327,0.04463,0.08179,4176.025,0.006,410.149,14.347,1.545,40.648042820403205,5.587781989171201,3.6868194435072,4.707584711065601,"['Office Business Unit (BU)', 'Imaging System BU', 'Medical System BU and Industry and Others BU']","Imaging Solutions, Optics, Industrial Machinery, Healthcare, Information Systems"
NTPC,NTPC.BO,Utilities,India,18936.0,21.5,54.1,2.2,Utilities,17.520216,,18.55,9.0,0.0287,1.7994555,2.0502403,0.40835997,0.1702,0.11137,,,180.587,-0.04,8.14,140.991,,40.968428453888,6.469499518976,1.02545690624,28.931698458624,[],"Power Generation, Renewable Energy, Power Distribution, Energy Solutions, Logistics"
Emerson Electric,EMR,"Engineering, Manufacturing",United States,85500.0,17.5,36.1,2.0,Industrials,33.020527,19.215017,3.41,2.1,0.0187,4.046352,3.113766,0.49991,0.21229,0.69332004,0.04808,0.08944,27.862,0.221,3.631,43.235,1.116,64.373415936,4.309000192,2.076,11.480999936,['Automation Solutions and Commercial & Residential Solutions'],"Automation Solutions, Climate Technologies, Commercial and Residential Solutions, Software Solutions"
London Stock Exchange,LSEG.L,Banking and Financial Services,United Kingdom,25000.0,9.5,1000.0,1.0,Financial Services,79.00826,23.3678,1.21,1.15,0.012200001,6.07857,218.44937,0.86359,0.19476,0.09082,0.00127,0.03505,15.29,0.048,6.581,37.7,1.001,63.15609489408,3.58608,4.4392,12.12844023808,"['Information Services', 'Post Trade Services-LCH', 'Post Trade Services-CC&G and Monte Titoli', 'Capital Markets', 'Technology Services', 'and Other']","Securities Trading, Post-Trade Services, Data and Analytics, Capital Formation Solutions"
IntercontinentalExchange,ICE,Diversified Financials,United States,8911.0,9.1,151.6,1.4,Financial Services,32.959427,20.861029,4.19,1.8,0.013200001,9.899634,3.0770261,1.0,0.45207,0.29644,0.015,0.100439996,14.163,0.245,1.57,89.087,1.004,79.07827712,4.896,0.899,22.972000256,[],"Trading and Clearing, Data Services, Listings, Sustainable Finance Products"
Norfolk Southern,NSC,Transportation and Logistics,United States,19300.0,13.0,39.2,3.0,Industrials,32.14339,18.76201,8.02,5.4,0.0207,4.7904916,4.55194,0.44274,0.6095,0.1503,0.06339,0.14321999,53.574,-0.051,6.942,141.656,1.243,58.233217024,5.382000128,1.568,18.104999936,[],"Rail Transportation, Intermodal Services, Transload, Logistics, Industrial Products"
Pernod Ricard,RI.PA,"Food, Soft Beverages, Alcohol & Tobacco",France,19480.0,12.5,39.4,2.5,Consumer Defensive,18.333332,,8.04,4.7,0.0322,3.2364779,2.296737,0.59926,0.32428002,0.17561,0.0505,0.12182,45.69,-0.074,6.496,75.71,1.913,40.58504331264,3.45060006912,1.77012006912,14.07132020736,[],"Wines and Spirits, Premium and Luxury Brands, Ecommerce, Corporate Experiences, Wine Tourism"
Komatsu,6301.T,"Engineering, Manufacturing",Japan,64343.0,26.2,36.6,2.4,Industrials,10.777079,11.20596,421.45,144.0,0.0313,1.1309149,1.5148538,0.3117,0.16107,0.10496,0.07461,0.15274,4020.768,0.056,366.454,42.693,2.067,39.0991452307456,6.9013674655744,3.1545697304576,11.6154771439616,"['Construction Machinery and Vehicles', 'Retail Finance', 'Industrial Machinery', 'and Others']","Construction and Mining Equipment, Industrial Machinery, Smart Construction Solutions, Robotic Solutions"
Softbank,9984.T,Telecommunications Services,Japan,59721.0,55.2,320.9,-23.1,Communication Services,,32.098003,-382.56,44.0,0.0047999998,2.0417898,1.4269724,0.50983,0.09203,-0.07711,0.0073900004,-0.01356,4572.533,0.048,4205.022,178.736,0.904,124.4241384701952,12.6994960089088,56.089694961664,190.50577275125764,"['SoftBank', 'Sprint', 'Yahoo Japan', 'Distribution', 'Arm', 'SoftBank Vision Fund and Delta Fund', 'and Brightstar']","Telecommunications, Internet Services, AI and Robotics, IoT, Smart City Solutions"
DuPont De Nemours,DD,"Construction, Oil & Gas Operations, Mining and Chemicals",United States,23000.0,12.8,41.2,5.6,Basic Materials,68.86238,18.04327,1.09,1.52,0.020399999,2.5972638,1.3297193,0.35076,0.13734001,0.03505,0.026719999,0.020599999,26.824,-0.066,5.728,33.755,2.425,31.34377984,2.855000064,2.392,8.345999872,"['Electronics & Industrial (E&I)', 'Water & Protection (W&P) and Corporate & Other business segments']","Electronics and Industrial Solutions, Water and Protection, Mobility and Materials"
Sysco,SYY,"Food, Soft Beverages, Alcohol & Tobacco",United States,49000.0,75.6,22.7,1.5,Consumer Defensive,19.960878,17.187368,4.09,2.0,0.024600001,0.5243406,17.104548,0.1842,0.036760002,0.02686,0.07474,1.06569,153.209,0.037,1.933,532.099,1.37,40.642842624,3.622123008,0.962164992,12.969385984,['U'],"Food Distribution, Foodservice Operations, Technology Solutions, Sustainable Food Systems"
Devon Energy,DVN,"Construction, Chemicals, Raw Materials",United States,1600.0,20.6,23.7,6.0,Energy,8.309931,8.807622,5.84,2.42,0.0498,2.136033,2.5578454,0.54675,0.41715,0.25972,0.12707,0.32169,22.577,-0.121,1.344,53.065,1.071,30.816548864,7.484000256,0.853,6.482999808,['U'],"Upstream Oil and Gas, Shale Oil and Gas, Renewable Natural Gas, Carbon Capture and Storage"
Orsted,ORSTED.CO,Utilities,Denmark,8027.0,16.9,44.7,1.6,Utilities,,13.728497,-50.1,13.5,0.0365,1.9464568,2.7168243,0.41172,0.40637,-0.25873,0.02675,-0.23288,188.6,-0.193,94.377,113.183,1.42,21.597300981760004,3.0262401433600004,5.552399892480001,12.326440304640002,"['Wind Power', 'Bioenergy & Thermal Power', 'Distribution & Customer Solutions and Other Activities']","Offshore Wind, Onshore Wind, Solar, Renewable Hydrogen, Bioenergy and Green Fuels"
American Tower,AMT,"Telecommunications Services, Cable Supplier",United States,2375.0,10.8,66.8,1.4,Real Estate,61.17981,26.64011,3.17,6.48,0.033299997,8.115819,21.541708,0.70742,0.41594002,0.1331,0.03575,0.11748,23.911,0.03,4.231,433.99,0.512,90.44430848,6.896999936,1.973299968,47.154798592,['U'],"Wireless Infrastructure, Data Centers, Fiber Solutions, Edge Computing, Smart City Infrastructure"
Lam Research,LRCX,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",United States,18700.0,18.8,19.2,4.9,Technology,37.907795,29.82003,25.92,8.0,0.0084,8.997454,15.687487,0.45938,0.28573,0.24154,0.13239999,0.41849,107.407,-0.288,43.004,60.612,3.056,128.817872896,4.386707968,5.638008832,4.983783936,"['the United States', 'China', 'Europe', 'Japan', 'Korea', 'Southeast Asia', 'and Taiwan']","Semiconductor Manufacturing Equipment, Services, Software, Process Solutions, Advanced Packaging"
Infineon Technologies,IFX.DE,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",Germany,56200.0,16.5,28.7,2.9,Technology,13.986842,12.171756,2.28,0.35,0.0113,2.5888286,2.5956373,0.44658002,0.18962999,0.18655,0.08659001,0.18702,12.321,-0.063,2.08,33.492,1.842,44.90271424512,5.82659979264,2.92896,6.23376027648,['Automotive; Industrial Power Control; Power Management and Multimarket; and Digital Security Solutions'],"Semiconductors, Power Management, Sensors, Automotive Solutions, Industrial Solutions"
Investor AB,INVE-B.ST,Diversified Financials,Sweden,18224.0,8.1,73.2,2.6,Financial Services,6.902918,17.017824,38.73,4.8,0.0182,4.3986793,1.1424433,0.82947,0.80447,0.68557,0.10673001,0.1917,60.505,0.119,10.398,12.425,3.211,81.5136833536,13.5741997056,3.1847000064,8.914100224,"['Listed Companies', 'Patricia Industries and Investments in EQT']","Investment Operations, Asset Management, Operating Subsidiaries, Digital Solutions, Sustainable Investing"
Aon,AON,Professional Services,Ireland,50000.0,12.7,34.3,2.6,Financial Services,26.07987,18.385134,12.52,2.46,0.0075,4.8406296,,0.47667,0.32652,0.19169001,0.075679995,,65.73,0.078,5.179,,1.002,64.748261376,4.292,1.027,12.032,[],"Risk, Retirement and Health Solutions, Professional Services, Data & Analytics Solutions, IP Solutions"
Bank of Nanjing,601009.SS,Banking,China,15769.0,12.7,312.6,2.7,Financial Services,5.7371798,4.73545,1.56,0.53,0.059699997,2.606555,0.67726064,,0.6377,0.52712,0.00901,0.123739995,3.447,-0.117,60.604,,,13.608689762304,,92.150563405824,79.933759094784,[],"Corporate Banking, Personal Banking, Investment Banking, Asset Management, Digital Banking"
Baidu,BIDU,"IT, Internet, Software & Services",China,41300.0,18.4,56.2,1.1,Communication Services,13.276762,8.322422,7.66,,,0.2657583,0.146376,0.51685,0.15427,0.15093,0.03425,0.08612,383.607,0.057,69.259,32.213,3.012,5.258268782592,5.370645159936,28.560188030976,12.435464896512,['Baidu Core and iQIYI'],"Internet Search, AI Cloud, Autonomous Driving, Intelligent Driving, AI Chips"
DSV Panalpina,DSV.CO,Transportation and Logistics,Denmark,75000.0,30.1,22.6,2.3,Industrials,19.213247,16.942213,57.07,7.0,0.0064,1.515102,3.3382044,0.2906,0.10762,0.08167,0.07217,0.17635,706.193,-0.287,30.915,58.13,1.105,31.983652700160004,2.6327000268800007,0.90327996416,5.612600197120001,"['Air & Sea', 'Road and Solutions']","Transport and Logistics, Air and Sea Freight, Road Transport, Solutions, Supply Chain Services"
ENGIE ,ENGI.PA,Utilities,France,96454.0,98.7,251.3,0.2281,Utilities,17.63908,8.573184,0.87,1.43,0.092700005,0.44998455,1.3935707,0.31063998,0.15184,0.02674,0.03274,0.0774,34.09,-0.299,8.332,134.014,0.995,40.125210624,16.91603951616,21.79007889408,51.70499813376,[],"Renewable Energy, Energy Solutions, Centralized Power Generation, Distributed Energy Networks, Energy Efficiency Services"
Sherwin-Williams,SHW,"Engineering, Manufacturing",United States,64366.0,22.6,23.1,2.1,Basic Materials,37.579006,27.255104,9.24,2.86,0.0084,3.8274546,23.65327,0.46668997,0.12661,0.10363,0.09955,0.70074,90.258,0.004,1.094,317.824,0.832,88.230100992,4.249999872,0.2768,11.80969984,"['America Group', 'Consumer Brands Group', 'and Performance Coating Group']","Paints and Coatings, Consumer Brands, Performance Coatings, Distribution, Digital Color Solutions"
Daiwa House Industry,1925.T,Construction,Japan,48831.0,35.8,47.7,1.7,Real Estate,8.376156,10.640927,544.88,154.0,0.0337,0.5569639,1.2219588,0.19690001,0.07743,0.06836,0.05131,0.14994,7969.454,0.044,578.208,87.677,2.321,26.5733835587584,5.9158463250432005,3.4569808838656,20.379868594176,"['Single-family Houses', 'Rental Housing', 'Condominiums', 'Existing Home Business', 'Commercial Facilities', 'Business and Corporate Facilities', 'and Other Businesses']","Housing, Commercial Construction, Logistics, Environmental Energy, Life Services"
Prologis,PLD,Diversified Financials,United States,2466.0,6.5,88.5,2.7,Real Estate,39.480244,43.44147,3.29,3.84,0.0298,14.420499,2.2604504,0.75868,0.37058997,0.36722,0.02343,0.05624,9.012,0.087,0.574,51.289,0.699,120.132796416,5.876600832,0.530505984,29.657061376,[],"Industrial Real Estate, Logistics Real Estate, Capital Deployment, Forward Solutions, Digital Solutions"
Moderna,MRNA,Drugs & Biotechnology,United States,3900.0,14.9,24.1,4.8,Healthcare,,-21.77615,-12.33,,,5.807532,2.8701024,-0.39282,0.00213,-0.68838,-0.11965,-0.2859,17.927,-0.447,22.519,8.972,3.425,39.769976832,-3.617999872,8.604000256,1.243000064,[],"Biotechnology, Vaccines, Therapeutics, Nucleic Acid Medicines, Digital Health Solutions"
